time(ms),x_accel,y_accel,z_accel,g_measured,TimeInterval,Date
0,-0.02858,-0.995651,-0.074661,0.998856,5259.276136,27:55.3
2.9542,0.005875,-0.961502,-0.164291,0.975455,5259.305678,27:55.3
5.9087,-0.008652,-0.969009,-0.146347,0.980036,5259.335223,27:55.3
8.8632,0.015137,-0.986481,-0.141998,0.996763,5259.364768,27:55.2
11.8176,-0.011948,-0.979507,-0.147125,0.990567,5259.394312,27:55.2
14.772,-0.016769,-0.974197,-0.182587,0.991302,5259.423856,27:55.2
17.7259,-0.004715,-0.981644,-0.149551,0.992981,5259.453395,27:55.1
20.6808,-0.003021,-0.983719,-0.12471,0.991597,5259.482944,27:55.1
23.635,0.012207,-0.98175,-0.123077,0.989511,5259.512486,27:55.1
26.5894,0.010452,-0.982544,-0.11026,0.988766,5259.54203,27:55.1
29.5437,0.021942,-0.982178,-0.122314,0.990008,5259.571573,27:55.0
32.4981,0.05191,-0.988632,-0.102905,0.995328,5259.601117,27:55.0
35.4522,-0.033737,-0.979248,-0.139069,0.989649,5259.630658,27:55.0
38.4073,-0.040283,-0.983063,-0.113876,0.990456,5259.660209,27:54.9
41.3618,-0.052826,-0.987091,-0.085526,0.992197,5259.689754,27:54.9
44.3166,-0.000244,-0.946121,-0.141541,0.95665,5259.719302,27:54.9
47.271,0.086624,-1.038483,-0.17955,1.057444,5259.748846,27:54.8
50.2255,-0.092636,-0.952866,-0.088181,0.96141,5259.778391,27:54.8
53.1795,-0.020645,-0.975815,-0.109787,0.982188,5259.807931,27:54.8
56.1345,-0.001038,-0.978287,-0.06813,0.980657,5259.837481,27:54.8
59.0891,0.043793,-0.994202,-0.066986,0.997418,5259.867027,27:54.7
62.0434,0.056396,-1.004593,0.020538,1.006384,5259.89657,27:54.7
64.9979,0.043198,-1.009827,-0.03244,1.011271,5259.926115,27:54.7
67.9525,0.125778,-1.003036,0.0327,1.011421,5259.955661,27:54.6
70.9059,0.137161,-1.017822,-0.079544,1.030098,5259.985195,27:54.6
73.8615,0.050507,-0.993057,-0.095459,0.998912,5260.014751,27:54.6
76.8162,-0.097549,-0.95108,-0.074921,0.959001,5260.044298,27:54.6
79.7706,-0.112839,-0.970581,-0.13176,0.985962,5260.073842,27:54.5
82.7252,-0.062912,-0.955963,-0.105377,0.963809,5260.103388,27:54.5
85.6799,-0.028671,-0.997513,-0.138275,1.007459,5260.132935,27:54.5
88.6335,-0.039902,-0.94751,-0.210281,0.971383,5260.162471,27:54.4
91.5891,-0.010773,-1.021027,-0.142685,1.031005,5260.192027,27:54.4
94.5436,-0.016052,-0.976303,-0.077042,0.97947,5260.221572,27:54.4
97.4982,-0.064209,-0.966614,-0.086243,0.972575,5260.251118,27:54.3
100.4529,0.042191,-1.007446,-0.096298,1.012917,5260.280665,27:54.3
103.4076,0.024017,-0.946487,-0.049255,0.948072,5260.310212,27:54.3
106.3626,0.053268,-0.992737,-0.064285,0.996241,5260.339762,27:54.3
109.3175,0.039734,-0.986618,-0.096115,0.992085,5260.369311,27:54.2
112.2724,-0.027191,-0.987396,-0.032562,0.988307,5260.39886,27:54.2
115.2265,0.038025,-0.998245,-0.054382,1.000448,5260.428401,27:54.2
118.1814,0.055496,-0.982605,-0.094803,0.988726,5260.45795,27:54.1
121.1362,0.024185,-1.007248,-0.042343,1.008428,5260.487498,27:54.1
124.0912,-0.060745,-0.951508,-0.128555,0.962072,5260.517048,27:54.1
127.0457,-0.043396,-0.980972,-0.089554,0.986007,5260.546593,27:54.0
130.0006,-0.073441,-0.96962,-0.092468,0.976784,5260.576142,27:54.0
132.9553,-0.100754,-0.949615,-0.123871,0.962946,5260.605689,27:54.0
135.9102,-0.123169,-1.011703,-0.045898,1.020206,5260.635238,27:54.0
138.8649,-0.098511,-0.951584,-0.007629,0.9567,5260.664785,27:53.9
141.8197,0.035309,-0.968445,-0.002457,0.969091,5260.694333,27:53.9
144.7742,-0.027908,-1.024811,0.076019,1.028005,5260.723878,27:53.9
147.7288,0.095825,-0.979218,0.020996,0.984119,5260.753424,27:53.8
150.6833,0.129684,-1.053299,0.093948,1.065403,5260.782969,27:53.8
153.6383,0.01825,-0.966873,0.028015,0.967451,5260.812519,27:53.8
156.5927,0.003876,-1.031891,0.041107,1.032717,5260.842063,27:53.8
159.5474,-0.064056,-0.983765,0.017227,0.985998,5260.87161,27:53.7
162.5017,-0.076797,-0.988007,0.018753,0.991164,5260.901153,27:53.7
165.4562,-0.029312,-1.000946,0.019333,1.001562,5260.930698,27:53.7
168.411,0.003372,-0.97345,0.040054,0.974279,5260.960246,27:53.6
171.3653,-0.102844,-1.047897,0.051178,1.054175,5260.989789,27:53.6
174.3194,-0.089172,-0.971939,0.04718,0.977161,5261.01933,27:53.6
177.2745,0.021255,-0.98259,-0.014664,0.982929,5261.048881,27:53.5
180.2292,-0.031586,-0.99147,0.009567,0.992019,5261.078428,27:53.5
183.1837,-0.116745,-1.027359,0.074707,1.036666,5261.107973,27:53.5
186.1382,0.005936,-1.055008,0.093857,1.059191,5261.137518,27:53.5
189.0929,0.174438,-0.986099,0.108414,1.007261,5261.167065,27:53.4
192.0449,0.105667,-0.943848,-0.037628,0.950489,5261.196585,27:53.4
195.0013,-0.022888,-1.151093,-0.228455,1.173767,5261.226149,27:53.4
197.9554,-0.121582,-1.070358,-0.096909,1.081592,5261.25569,27:53.3
200.9097,0.163254,-0.850708,0.487259,0.99387,5261.285233,27:53.3
203.8644,0.7164,-0.920044,0.420807,1.239673,5261.31478,27:53.3
206.8188,1.085419,-1.01152,0.592667,1.597674,5261.344324,27:53.3
209.773,0.479645,-0.949234,0.851669,1.362514,5261.373866,27:53.2
212.7215,0.299866,-0.77182,0.749069,1.116571,5261.403351,27:53.2
215.677,0.368927,-0.539322,0.63797,0.913226,5261.432906,27:53.2
218.6317,0.380463,-0.61647,0.385864,0.820779,5261.462453,27:53.1
221.5865,0.609879,-0.582184,0.379898,0.924777,5261.492001,27:53.1
224.5411,0.309296,-0.511505,0.38681,0.711986,5261.521547,27:53.1
227.496,-0.026871,-0.610092,0.357849,0.707807,5261.551096,27:53.0
230.4504,0.186615,-0.754211,0.495163,0.921329,5261.58064,27:53.0
233.4048,0.493515,-0.856308,0.719849,1.222703,5261.610184,27:53.0
236.3595,0.288712,-0.942505,0.354553,1.047558,5261.639731,27:53.0
239.3141,0.175369,-1.111603,0.207825,1.14438,5261.669277,27:52.9
242.2686,0.10495,-1.193787,0.024094,1.198633,5261.698822,27:52.9
245.2231,0.132507,-1.157257,-0.028046,1.165156,5261.728367,27:52.9
248.1778,0.243912,-1.186874,-0.005051,1.211689,5261.757914,27:52.8
251.132,0.211945,-1.164505,0.172333,1.196115,5261.787456,27:52.8
254.0863,-0.091843,-1.205856,0.325256,1.252324,5261.816999,27:52.8
257.0412,-0.093369,-1.107468,0.316681,1.155634,5261.846548,27:52.7
259.9961,-0.114609,-0.946167,0.224045,0.979062,5261.876097,27:52.7
262.9508,-0.155548,-0.920944,0.182877,0.951723,5261.905644,27:52.7
265.9056,-0.124496,-0.935715,0.140228,0.954319,5261.935192,27:52.7
268.8603,-0.084961,-0.942291,0.141678,0.956663,5261.964739,27:52.6
271.8149,-0.077225,-0.956497,0.162262,0.973231,5261.994285,27:52.6
274.7694,-0.116714,-0.976151,0.126923,0.991263,5262.02383,27:52.6
277.7241,-0.102325,-0.947266,0.134277,0.962192,5262.053377,27:52.5
280.6788,-0.042099,-1.011337,0.160385,1.024841,5262.082924,27:52.5
283.6332,0.124908,-1.016647,0.120911,1.031404,5262.112468,27:52.5
286.588,-0.056229,-0.977081,0.13028,0.987331,5262.142016,27:52.5
289.5428,-0.284424,-0.914841,0.123184,0.965922,5262.171564,27:52.4
292.4974,-0.310501,-0.937073,0.061676,0.989101,5262.20111,27:52.4
295.4515,-0.114594,-0.993195,0.038239,1.000515,5262.230651,27:52.4
298.4066,0.064713,-1.020615,0.058685,1.024347,5262.260202,27:52.3
301.3612,-0.292053,-0.970703,0.171875,1.028154,5262.289748,27:52.3
304.3157,-0.365768,-0.924942,0.194031,1.013387,5262.319293,27:52.3
307.2705,-0.172516,-1.054123,0.128098,1.0758,5262.348841,27:52.2
310.225,-0.050446,-0.919739,0.051315,0.922549,5262.378386,27:52.2
313.1792,-0.480331,-0.749756,0.306412,0.941669,5262.407928,27:52.2
316.134,-0.679214,-0.885132,-0.137985,1.124202,5262.437476,27:52.2
319.0884,0.714142,-1.029327,-0.066879,1.254586,5262.46702,27:52.1
322.0427,0.294708,-1.251129,-0.757446,1.491946,5262.496563,27:52.1
324.9969,-0.568878,-1.691071,0.837891,1.971142,5262.526105,27:52.1
327.9511,0.16362,-1.745712,-0.300827,1.778983,5262.555647,27:52.0
330.905,0.155869,-0.402481,0.677521,0.803318,5262.585186,27:52.0
333.8598,0.465393,-0.52356,0.418915,0.816208,5262.614734,27:52.0
336.8142,0.339737,-1.023666,0.416061,1.156037,5262.644278,27:52.0
339.7684,0.409988,-1.299042,0.457428,1.436955,5262.67382,27:51.9
342.7225,0.638702,-1.468399,0.468597,1.668448,5262.703361,27:51.9
345.6767,0.391251,-1.187775,0.473999,1.337371,5262.732903,27:51.9
348.6293,0.162872,-0.83345,0.421921,0.948253,5262.762429,27:51.8
351.5854,0.116776,-0.656509,0.439758,0.798767,5262.79199,27:51.8
354.5401,0.184067,-0.596939,0.365738,0.723865,5262.821537,27:51.8
357.4944,0.295456,-0.542053,0.279404,0.67763,5262.85108,27:51.7
360.4488,0.315277,-0.435776,0.302505,0.617098,5262.880624,27:51.7
363.4034,0.271118,-0.482925,0.291321,0.625771,5262.91017,27:51.7
366.3562,0.094101,-0.836166,0.167419,0.857939,5262.939698,27:51.7
369.3125,0.345734,-0.74939,0.74794,1.113791,5262.969261,27:51.6
372.2668,-0.128662,-0.928986,0.671173,1.153274,5262.998804,27:51.6
375.2209,-0.1035,-1.249451,0.22496,1.273753,5263.028345,27:51.6
378.1754,0.109329,-1.483704,-0.192215,1.500092,5263.05789,27:51.5
381.1299,-0.066025,-1.70816,-0.102325,1.712496,5263.087435,27:51.5
384.0842,-0.105347,-1.515625,0.090881,1.521998,5263.116978,27:51.5
387.0383,0.134521,-1.214813,0.159241,1.232568,5263.146519,27:51.4
389.9928,0.054672,-1.032791,0.213928,1.056131,5263.176064,27:51.4
392.9472,-0.109375,-0.995987,0.260864,1.035376,5263.205608,27:51.4
395.9017,-0.048126,-0.958237,0.238571,0.988661,5263.235153,27:51.4
398.8561,-0.000748,-0.982071,0.074265,0.984875,5263.264697,27:51.3
401.8107,-0.091629,-0.955032,0.105804,0.965234,5263.294243,27:51.3
404.7653,-0.121887,-0.930954,0.165527,0.953379,5263.323789,27:51.3
407.72,-0.042908,-0.96167,0.147522,0.973865,5263.353336,27:51.2
410.6744,0.005356,-0.960632,0.242706,0.990833,5263.38288,27:51.2
413.6289,-0.046341,-0.925171,0.230072,0.954475,5263.412425,27:51.2
416.5832,-0.054504,-0.987381,0.188644,1.006717,5263.441968,27:51.2
419.5374,0.040939,-0.962646,0.173553,0.979023,5263.47151,27:51.1
422.4921,0.143158,-0.911057,0.286346,0.965667,5263.501057,27:51.1
425.4468,0.393875,-1.050919,0.190079,1.138287,5263.530604,27:51.1
428.4015,0.396912,-1.073807,0.111465,1.150228,5263.560151,27:51.0
431.356,0.027634,-0.878601,0.401566,0.966415,5263.589696,27:51.0
434.3106,-0.542755,-0.987167,0.503571,1.233963,5263.619242,27:51.0
437.2658,-0.249268,-0.955185,0.47081,1.093698,5263.648794,27:50.9
440.2204,0.314392,-1.149704,0.532684,1.305532,5263.67834,27:50.9
443.175,0.477005,-1.047821,0.250702,1.178267,5263.707886,27:50.9
446.1296,0.165817,-0.146439,0.178268,0.284111,5263.737432,27:50.9
449.0841,-0.39209,-2.361588,-0.189926,2.401437,5263.766977,27:50.8
452.0383,-0.438766,-1.239685,-0.293945,1.347494,5263.796519,27:50.8
454.9926,-0.098389,-0.686096,0.453522,0.828306,5263.826062,27:50.8
457.947,0.27388,-0.767578,0.38443,0.901095,5263.855606,27:50.7
460.9012,0.264572,-0.751968,0.289566,0.848118,5263.885148,27:50.7
463.8558,0.140213,-0.743896,0.171326,0.776141,5263.914694,27:50.7
466.8106,0.125397,-0.778549,0.039703,0.789582,5263.944242,27:50.7
469.7652,0.165497,-0.938736,-0.108292,0.959344,5263.973788,27:50.6
472.7196,0.076218,-0.912216,-0.195938,0.93613,5264.003332,27:50.6
475.6745,0.028839,-0.883759,-0.281662,0.928006,5264.032881,27:50.6
478.629,-0.063141,-0.904739,-0.327255,0.964176,5264.062426,27:50.5
481.5837,-0.111572,-0.968613,-0.237091,1.00343,5264.091973,27:50.5
484.5382,-0.13916,-1.086639,-0.198822,1.11341,5264.121518,27:50.5
487.492,-0.104935,-1.167542,-0.287201,1.206917,5264.151056,27:50.4
490.4471,-0.152435,-0.992783,-0.377319,1.072951,5264.180607,27:50.4
493.4014,-0.389511,-1.085907,-0.19342,1.169754,5264.21015,27:50.4
496.3562,-0.305725,-1.112518,-0.12648,1.160673,5264.239698,27:50.4
499.311,-0.139984,-1.016708,-0.241165,1.054254,5264.269246,27:50.3
502.2657,-0.304886,-0.877411,-0.13826,0.939107,5264.298793,27:50.3
505.22,-0.40889,-0.888504,-0.337875,1.03479,5264.328336,27:50.3
508.1753,-0.128387,-0.900375,-0.443436,1.011827,5264.357889,27:50.2
511.13,-0.577301,-0.768143,-0.145065,0.971784,5264.387436,27:50.2
514.0845,-0.460739,-0.848236,-0.050186,0.966594,5264.416981,27:50.2
517.0391,-0.064575,-0.846466,0.015228,0.849062,5264.446527,27:50.1
519.9939,0.00882,-0.962708,0.005692,0.962765,5264.476075,27:50.1
522.9483,-0.225479,-1.034256,0.002945,1.058553,5264.505619,27:50.1
525.9035,-0.194473,-0.969452,0.168976,1.0031,5264.535171,27:50.1
528.8585,0.480194,-1.06958,0.168579,1.184486,5264.564721,27:50.0
531.8132,-0.022629,-1.090454,0.206696,1.110101,5264.594268,27:50.0
534.7679,-0.181976,-1.012375,0.170532,1.042641,5264.623815,27:50.0
537.7224,-0.004639,-1.009903,0.164597,1.023239,5264.65336,27:49.9
540.6747,-0.053497,-0.991165,0.053726,0.994061,5264.682883,27:49.9
543.6319,-0.009262,-0.982773,0.065781,0.985015,5264.712455,27:49.9
546.5866,-0.088394,-0.991821,0.073853,0.998487,5264.742002,27:49.9
549.5412,-0.3806,-0.945511,0.211151,1.04088,5264.771548,27:49.8
552.4961,-0.673996,-0.902008,0.493103,1.229244,5264.801097,27:49.8
555.4509,-0.079773,-0.85817,0.459366,0.976645,5264.830645,27:49.8
558.4056,0.178711,-0.969574,0.314194,1.03476,5264.860192,27:49.7
561.3605,0.28923,-1.041367,0.082077,1.083898,5264.889741,27:49.7
564.3153,0.187256,-0.975235,0.229446,1.019212,5264.919289,27:49.7
567.2699,-0.126617,-0.965042,0.424652,1.061917,5264.948835,27:49.6
570.2244,-0.132782,-0.965485,0.474869,1.084109,5264.97838,27:49.6
573.1796,0.013245,-0.978775,0.374054,1.047899,5265.007932,27:49.6
576.1346,-0.110687,-0.953903,0.304947,1.007559,5265.037482,27:49.6
579.0894,0.138168,-0.947662,0.303375,1.004585,5265.06703,27:49.5
582.0439,0.202896,-0.970505,0.224579,1.016603,5265.096575,27:49.5
584.9988,0.053162,-1.001297,0.21109,1.024686,5265.126124,27:49.5
587.9535,0.205521,-0.996704,0.12767,1.02565,5265.155671,27:49.4
590.9083,0.177505,-0.92688,0.148529,0.95534,5265.185219,27:49.4
593.8631,0.032043,-0.99971,0.138443,1.009759,5265.214767,27:49.4
596.8178,0.078552,-0.967957,0.216049,0.994881,5265.244314,27:49.4
599.7725,0.038208,-0.992615,0.205002,1.014283,5265.273861,27:49.3
602.7271,0.019974,-0.992371,0.279739,1.031238,5265.303407,27:49.3
605.6815,-0.017731,-0.955154,0.25621,0.989079,5265.332951,27:49.3
608.636,0.011261,-0.931412,0.216721,0.956359,5265.362496,27:49.2
611.5903,0.070007,-0.990326,0.196732,1.012102,5265.392039,27:49.2
614.5448,0.029282,-0.962494,0.225952,0.989094,5265.421584,27:49.2
617.4994,0.032059,-0.945709,0.181885,0.963574,5265.45113,27:49.1
620.4543,0.210129,-0.969116,0.156509,1.00391,5265.480679,27:49.1
623.409,0.162384,-0.948868,0.173264,0.97813,5265.510226,27:49.1
626.3639,0.079819,-0.958847,0.21138,0.985109,5265.539775,27:49.1
629.3191,0.017929,-1.001373,0.222519,1.025955,5265.569327,27:49.0
632.2739,-0.042282,-0.980301,0.264709,1.016292,5265.598875,27:49.0
635.2287,-0.059967,-0.942657,0.289978,0.988072,5265.628423,27:49.0
638.1835,-0.074463,-0.906845,0.305893,0.959939,5265.657971,27:48.9
641.1385,0.076462,-0.900131,0.247574,0.936683,5265.687521,27:48.9
644.0934,0.12822,-0.992935,0.158676,1.013676,5265.71707,27:48.9
647.0484,-0.203751,-0.928482,0.055496,0.952194,5265.74662,27:48.8
650.0031,-0.471359,-0.94751,-0.08284,1.061516,5265.776167,27:48.8
652.9577,-0.105484,-1.227356,-0.339142,1.277712,5265.805713,27:48.8
655.9125,0.258698,-1.347244,-0.40062,1.429156,5265.835261,27:48.8
658.867,-0.154633,-1.785172,0.065338,1.793047,5265.864806,27:48.7
661.8214,-0.125259,-1.478897,0.330276,1.520496,5265.89435,27:48.7
664.7758,0.057587,-1.428604,0.376251,1.478442,5265.923894,27:48.7
667.7302,0.237045,-1.36882,0.349228,1.432417,5265.953438,27:48.6
670.6846,0.077972,-1.193771,0.208374,1.214327,5265.982982,27:48.6
673.6392,-0.031006,-0.988586,0.239899,1.01775,5266.012528,27:48.6
676.5939,0.113693,-0.682098,0.255325,0.73714,5266.042075,27:48.6
679.548,0.18924,-0.564941,0.13295,0.610447,5266.071616,27:48.5
682.503,0.326157,-0.500793,0.218918,0.636473,5266.101166,27:48.5
685.4552,0.261383,-0.379608,0.294861,0.547144,5266.130688,27:48.5
688.4119,0.251938,-0.266083,0.445587,0.576906,5266.160255,27:48.4
691.3666,0.396988,-0.477982,0.503586,0.79979,5266.189802,27:48.4
694.3209,0.454941,-0.424561,0.738861,0.965991,5266.219345,27:48.4
697.2753,0.173691,-0.572876,0.737671,0.950007,5266.248889,27:48.3
700.2304,0.443741,-0.559204,0.545731,0.898575,5266.27844,27:48.3
703.1848,0.213257,-0.929596,0.453217,1.055951,5266.307984,27:48.3
706.1395,0.443085,-1.005493,0.621521,1.26239,5266.337531,27:48.3
709.0943,0.31691,-0.95224,0.435303,1.093929,5266.367079,27:48.2
712.0489,0.295227,-1.220139,0.419128,1.323467,5266.396625,27:48.2
714.9974,0.38652,-0.970825,0.45871,1.14119,5266.42611,27:48.2
717.9523,0.020523,-1.157227,0.300339,1.195742,5266.455659,27:48.1
720.9068,0.0755,-0.976059,0.409744,1.061264,5266.485204,27:48.1
723.8615,0.012878,-0.909882,0.391556,0.990639,5266.514751,27:48.1
726.8161,-0.027832,-0.877914,0.385468,0.959215,5266.544297,27:48.1
729.7705,0.122421,-0.980194,0.127075,0.99595,5266.573841,27:48.0
732.722,0.128021,-0.920242,0.197037,0.949768,5266.603356,27:48.0
735.6788,-0.117142,-0.981735,0.170746,1.003335,5266.632924,27:48.0
738.633,-0.035919,-0.926636,0.200027,0.94866,5266.662466,27:47.9
741.5871,-0.110733,-0.921585,0.261108,0.96424,5266.692007,27:47.9
744.5413,-0.088974,-0.959961,0.282944,1.004738,5266.721549,27:47.9
747.4959,0.021652,-0.919785,0.245926,0.95234,5266.751095,27:47.8
750.4477,-0.022339,-0.926239,0.223297,0.953037,5266.780613,27:47.8
753.4043,-0.113174,-0.926697,0.238083,0.963462,5266.810179,27:47.8
756.3585,-0.124176,-0.964798,0.183517,0.989916,5266.839721,27:47.8
759.3126,0.012451,-0.98024,0.162689,0.993727,5266.869262,27:47.7
762.2669,0.132462,-0.961761,0.204117,0.992066,5266.898805,27:47.7
765.2216,0.070114,-1.019608,0.308304,1.067505,5266.928352,27:47.7
768.1761,-0.015701,-1.125702,0.387955,1.190781,5266.957897,27:47.6
771.1304,0.160187,-0.707199,0.548553,0.909231,5266.98744,27:47.6
774.0845,0.433731,-0.889359,0.699356,1.211685,5267.016981,27:47.6
777.0386,0.320892,-1.542969,0.360123,1.616605,5267.046522,27:47.5
779.993,-0.130096,-1.998795,0.546875,2.076337,5267.076066,27:47.5
782.9473,0.727432,-1.573074,-0.052032,1.733905,5267.105609,27:47.5
785.9016,0.561249,-1.358871,-0.011337,1.470259,5267.135152,27:47.5
788.8562,-6.31311,-4.409164,-1.555588,7.85595,5267.164698,27:47.4
791.8106,2.863907,0.952652,4.715149,5.598405,5267.194242,27:47.4
794.7653,0.126953,-0.156006,-0.027939,0.203065,5267.223789,27:47.4
797.72,-0.319412,-0.328171,0.087723,0.466278,5267.253336,27:47.3
800.6746,-0.271652,-0.436737,0.116501,0.527358,5267.282882,27:47.3
803.6293,-0.271332,-0.611847,0.139526,0.6837,5267.312429,27:47.3
